File,Size_GB,Duration_min,Video_Codec,Resolution,Video_Bitrate_kbps,Audio_Codec,Audio_Channels,Audio_Bitrate_kbps,Quality_Score,Recommendation,Notes
"/mnt/media/legacy-media/old-downloads/[Beatrice-Raws]_Ghost_in_the_Shell_2_-_Innocence_[BDRip_1920x1036_x264_FLAC]/[Beatrice-Raws] Ghost in the Shell 2 - Innocence [BDRip 1920x1036 x264 FLAC].mkv",10.47,99.0,AVC,1920x1036,14185,AC-3,6,640,75,KEEP,"H.264/AVC codec. 720p. ★ Excellent bitrate. Standard Dolby audio. 6ch surround. ✓ KEEP - Excellent for home theater"
"/mnt/media/legacy-media/old-downloads/[RH]_Ghost_in_the_Shell_2_Innocence_[C5CBC47F]/[RH] Ghost in the Shell 2 Innocence [C5CBC47F].mkv",7.32,99.6,AVC,1920x1036,8575,AC-3AC-3AC-3,662,640000640000640,65,KEEP,"H.264/AVC codec. 720p. Good bitrate. Unknown audio (AC-3AC-3AC-3). 662ch surround. ✓ KEEP - Good quality"
"/mnt/media/legacy-media/old-downloads/[Statius]_-_Alien.1979.Directors.Cut.MULTi.1080p.BluRay.x264-THENiGHTMAREiNHD/Alien.1979.Directors.Cut.MULTi.1080p.BluRay.x264-THENiGHTMAREiNHD.mkv",8.74,115.8,AVC,1920x816,8532,DTSDTS,66,1509000768,65,KEEP,"H.264/AVC codec. 720p. Good bitrate. Unknown audio (DTSDTS). 66ch surround. ✓ KEEP - Good quality"
"/mnt/media/legacy-media/tv/Archer 2009/Season 6/Archer 2009 - 6x06 - Sitting.mkv",.41,18.7,AVC,1280x720,2698,AC-3,6,384,55,MAYBE,"H.264/AVC codec. 720p. ⚠ Low bitrate for 720p. Standard Dolby audio. 6ch surround. ? MAYBE - Acceptable but not ideal"
"/mnt/media/legacy-media/tv/Archer 2009/Season 6/Archer 2009 - 6x07 - Nellis.mkv",.34,19.6,AVC,1280x720,2091,AC-3,6,384,55,MAYBE,"H.264/AVC codec. 720p. ⚠ Low bitrate for 720p. Standard Dolby audio. 6ch surround. ? MAYBE - Acceptable but not ideal"
"/mnt/media/legacy-media/tv/Mr Robot/Season 1/Mr Robot - 1x01 - eps1 0 hellofriend mov 1080p WEB-DL DD5 1 H 264-NTb.mkv",2.38,64.8,AVC,1920x1080,4880,AC-3,6,384,70,KEEP,"H.264/AVC codec. 1080p. ⚠⚠ LOW BITRATE for 1080p (4880kbps). Standard Dolby audio. 6ch surround. ✓ KEEP - Good quality"
"/mnt/media/legacy-media/tv/Mr Robot/Season 1/Mr Robot - 1x02 - 1080p WEB-DL.mkv",1.78,47.1,AVC,1920x1080,5035,AC-3,6,384,75,KEEP,"H.264/AVC codec. 1080p. Acceptable bitrate. Standard Dolby audio. 6ch surround. ✓ KEEP - Excellent for home theater"
"/mnt/media/legacy-media/tv/Mr Robot/Season 1/Mr Robot - 1x03 - eps1 2 d3bug mkv 1080p WEB-DL DD5 1 H 264-NTb.mkv",1.65,45.1,AVC,1920x1080,4851,AC-3,6,384,70,KEEP,"H.264/AVC codec. 1080p. ⚠⚠ LOW BITRATE for 1080p (4851kbps). Standard Dolby audio. 6ch surround. ✓ KEEP - Good quality"
"/mnt/media/legacy-media/tv/Mr Robot/Season 1/Mr Robot - 1x04 - eps1 3 da3m0ns mp4 1080p WEB-DL DD5 1 H 264-NTb.mkv",1.67,45.1,AVC,1920x1080,4928,AC-3,6,384,70,KEEP,"H.264/AVC codec. 1080p. ⚠⚠ LOW BITRATE for 1080p (4928kbps). Standard Dolby audio. 6ch surround. ✓ KEEP - Good quality"
"/mnt/media/legacy-media/tv/Mr Robot/Season 1/Mr Robot - 1x05 - eps1 4 3xpl0its wmv 1080p WEB-DL DD5 1 H 264-NTb.mkv",1.63,44.8,AVC,1920x1080,4835,AC-3,6,384,70,KEEP,"H.264/AVC codec. 1080p. ⚠⚠ LOW BITRATE for 1080p (4835kbps). Standard Dolby audio. 6ch surround. ✓ KEEP - Good quality"
"/mnt/media/legacy-media/tv/Season 1/Mr Robot - 1x01 - eps1 0 hellofriend mov 1080p WEB-DL DD5 1 H 264-NTb.mkv",2.38,64.8,AVC,1920x1080,4880,AC-3,6,384,70,KEEP,"H.264/AVC codec. 1080p. ⚠⚠ LOW BITRATE for 1080p (4880kbps). Standard Dolby audio. 6ch surround. ✓ KEEP - Good quality"
